RecipeID,RecipeMasterID,MaterialMasterID,BomAlternative,ProdIssue,ProdSpecific1,ProdSpecific2,ProdSpecific3,RecipeEdition,RecipeDescription,RecipeStatus,RecipeTypeID,RecipeTypeGlobalName,RecipeTypeLocalName,ProcessTypeID,ProcessTypeName,ParameterID,ParameterName,ParameterType,ParameterGlobalName,ParameterLocalName,ParameterUnitSymbol,ParameterValue,Workcenter,TechOffsetValue,TechOffsetComments,TechOffsetUTCDate,TechOffsetLocalDate,TechOffsetHistoryValueFrom,TechOffsetHistoryValueTo,TechOffsetHistoryComments,TechOffsetHistoryUTCDate,TechOffsetHistoryLocalDate,UserName
164441,164441,9.92671E+11,C1,100,892671414300,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190323,TB1_SW_DistanceServicerToDrum,Number,Lay-on position,安装位置_SW,mm,85,TB151,25,,2026/8/6 16:47,2026/8/7 0:47,0,25,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
164441,164441,9.92671E+11,C1,100,992670596700,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190066,TB1_PL1_Friction,Number,Lay-on friction PLY 1,PLY 1 安装摩擦,%,99,TB151,-1,,2026/8/6 16:47,2026/8/7 0:47,0,-1,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
164441,164441,9.92671E+11,C1,100,992670596700,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190003,TB1_IL_Friction,Number,Lay-on friction IL,IL 安装摩擦,%,100,TB151,-1,,2026/8/6 16:47,2026/8/7 0:47,0,-1,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
164441,164441,9.92671E+11,C1,100,992670596700,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190392,TB1_SW_SpeedLayonDrum,Number,Lay-on speed SW,SW 安装速度,m/min,90,TB151,-10,,2026/8/6 16:47,2026/8/7 0:47,0,-10,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
164441,164441,9.92671E+11,C1,100,992670596700,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB151,-30,,2026/8/6 16:47,2026/8/7 0:47,0,-30,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
140788,140788,9.92671E+11,C1,100,892671414300,0345683000,NORDIC,1,255/40 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190259,TB1_BS_PositionSettingBeadLeft,Number,Turn-up ring left position bead setting,左卷边罩位置_胎圈芯定位,mm,185,TB151,1,,2026/8/6 16:43,2026/8/7 0:43,0,1,,2026/8/6 16:43,2026/8/7 0:43,CGMS_uih69089
140788,140788,9.92671E+11,C1,100,992670596700,0345683000,NORDIC,1,255/40 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190260,TB1_BS_PositionSettingBeadRight,Number,Turn-up ring right position bead setting,右卷边罩位置_胎圈芯定位,mm,185,TB151,1,,2026/8/6 16:43,2026/8/7 0:43,0,1,,2026/8/6 16:43,2026/8/7 0:43,CGMS_uih69089
140788,140788,9.92671E+11,C1,100,992670596700,0345683000,NORDIC,1,255/40 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190323,TB1_SW_DistanceServicerToDrum,Number,Lay-on position,安装位置_SW,mm,85,TB151,25,,2026/8/6 16:43,2026/8/7 0:43,20,25,,2026/8/6 16:43,2026/8/7 0:43,CGMS_uih69089
140788,140788,9.92671E+11,C1,100,992670596700,0345683000,NORDIC,1,255/40 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190066,TB1_PL1_Friction,Number,Lay-on friction PLY 1,PLY 1 安装摩擦,%,99,TB151,-1,,2026/8/6 16:43,2026/8/7 0:43,-3,-1,,2026/8/6 16:43,2026/8/7 0:43,CGMS_uih69089
140788,140788,9.92671E+11,C1,100,992670596700,0345683000,NORDIC,1,255/40 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB151,0,,2026/8/6 16:43,2026/8/7 0:43,-20,0,,2026/8/6 16:43,2026/8/7 0:43,CGMS_uih69089
140788,140788,9.92671E+11,C1,100,892671414300,0345683000,NORDIC,1,255/40 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190392,TB1_SW_SpeedLayonDrum,Number,Lay-on speed SW,SW 安装速度,m/min,90,TB151,-10,,2026/8/6 16:43,2026/8/7 0:43,0,-10,,2026/8/6 16:43,2026/8/7 0:43,CGMS_uih69089
85332,85332,9.9267E+11,C1,100,992670596700,0311798000,MB,1,275/40 R19 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190316,TB1_IL_DistanceServicerToDrum,Number,Lay-on position,安装位置_IL,mm,140,TB143,-10,,2026/8/6 16:23,2026/8/7 0:23,0,-10,,2026/8/6 16:23,2026/8/7 0:23,CGMS_uic16680
85332,85332,9.9267E+11,C1,100,992670596700,0311798000,MB,1,275/40 R19 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190318,TB1_PL1_DistanceServicerToDrum,Number,Lay-on position,安装位置_PLY1,mm,140,TB143,-15,,2026/8/6 21:58,2026/8/7 5:58,0,-10,,2026/8/6 16:23,2026/8/7 0:23,CGMS_uic16680
85332,85332,9.9267E+11,C1,100,992670596700,0311798000,MB,1,275/40 R19 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190269,TB1_BS_TimeBeadFixationDelay,Number,Turn-up rings delay after bladder inflation,胶囊充气后的卷边罩等待时间,s,0.4,TB143,0.3,,2026/8/6 16:23,2026/8/7 0:23,0,0.3,,2026/8/6 16:23,2026/8/7 0:23,CGMS_uic16680
85332,85332,9.9267E+11,C1,100,992670596700,0311798000,MB,1,275/40 R19 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190323,TB1_SW_DistanceServicerToDrum,Number,Lay-on position,安装位置_SW,mm,85,TB143,5,,2026/8/6 16:23,2026/8/7 0:23,0,5,,2026/8/6 16:23,2026/8/7 0:23,CGMS_uic16680
85332,85332,9.9267E+11,C1,100,892671414300,0311798000,MB,1,275/40 R19 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB143,-20,,2026/8/6 16:23,2026/8/7 0:23,0,-20,,2026/8/6 16:23,2026/8/7 0:23,CGMS_uic16680
85332,85332,9.9267E+11,C1,100,992670596700,0311798000,MB,1,275/40 R19 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190066,TB1_PL1_Friction,Number,Lay-on friction PLY 1,PLY 1 安装摩擦,%,99,TB143,-1,,2026/8/6 16:23,2026/8/7 0:23,0,-1,,2026/8/6 16:23,2026/8/7 0:23,CGMS_uic16680
85332,85332,9.9267E+11,C1,100,992670596700,0311798000,MB,1,275/40 R19 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190003,TB1_IL_Friction,Number,Lay-on friction IL,IL 安装摩擦,%,100,TB143,-1,,2026/8/6 16:23,2026/8/7 0:23,0,-1,,2026/8/6 16:23,2026/8/7 0:23,CGMS_uic16680
85332,85332,9.9267E+11,C1,100,992670596700,0311798000,MB,1,275/40 R19 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB143,-30,,2026/8/6 16:23,2026/8/7 0:23,0,-30,,2026/8/6 16:23,2026/8/7 0:23,CGMS_uic16680
136819,136819,9.92671E+11,C1,100,992670596700,0314931000,RE,1,275/50 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190392,TB1_SW_SpeedLayonDrum,Number,Lay-on speed SW,SW 安装速度,m/min,90,TB184,-20,,2026/8/12 23:29,2026/8/13 7:29,-20,-10,,2026/8/6 16:13,2026/8/7 0:13,CGMS_uih69086
136819,136819,9.92671E+11,C1,100,892671414300,0314931000,RE,1,275/50 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB184,-20,,2026/8/6 17:22,2026/8/7 1:22,-20,-10,,2026/8/6 16:13,2026/8/7 0:13,CGMS_uih69086
136819,136819,9.92671E+11,C1,100,992670596700,0314931000,RE,1,275/50 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB184,-30,,2026/8/12 23:29,2026/8/13 7:29,-30,-10,,2026/8/6 16:13,2026/8/7 0:13,CGMS_uih69086
